event_id,start,end,loud_duration_seconds,peak_time,peak_db,baseline_db,clip_window_start,clip_window_end,clip_duration_seconds,clip_file,top_class,top_class_confidence,vehicle_confidence,vehicle_matched_class,is_vehicle
0,2026-08-17T00:14:32,2026-08-17T00:14:35,3.0,2026-08-17T00:14:34,68.09,45.88,2026-08-17T00:14:17,2026-08-17T00:14:50,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_00-14-34.wav,Silence,0.9058,0.0097,Vehicle,False
1,2026-08-17T00:26:07,2026-08-17T00:26:10,3.0,2026-08-17T00:26:08,65.44,46.89,2026-08-17T00:25:52,2026-08-17T00:26:25,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_00-26-08.wav,Silence,0.9588,0.0011,Vehicle,False
2,2026-08-17T00:33:23,2026-08-17T00:33:25,2.0,2026-08-17T00:33:24,63.08,46.6,2026-08-17T00:33:08,2026-08-17T00:33:40,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_00-33-24.wav,Silence,0.9866,0.0004,Vehicle,False
3,2026-08-17T00:43:30,2026-08-17T00:43:32,2.0,2026-08-17T00:43:32,66.5,46.39,2026-08-17T00:43:15,2026-08-17T00:43:47,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_00-43-32.wav,Silence,0.952,0.0047,Vehicle,False
4,2026-08-17T00:47:02,2026-08-17T00:47:05,3.0,2026-08-17T00:47:03,64.92,46.8,2026-08-17T00:46:47,2026-08-17T00:47:20,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_00-47-03.wav,Silence,0.9637,0.0004,Vehicle,False
5,2026-08-17T00:53:56,2026-08-17T00:53:58,2.0,2026-08-17T00:53:57,67.5,47.12,2026-08-17T00:53:41,2026-08-17T00:54:13,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_00-53-57.wav,Silence,0.9303,0.003,Vehicle,False
6,2026-08-17T01:52:08,2026-08-17T01:52:11,3.0,2026-08-17T01:52:10,64.84,45.71,2026-08-17T01:51:53,2026-08-17T01:52:26,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_01-52-10.wav,Silence,0.9456,0.0041,Vehicle,False
7,2026-08-17T01:55:28,2026-08-17T01:55:31,3.0,2026-08-17T01:55:29,64.02,45.4,2026-08-17T01:55:13,2026-08-17T01:55:46,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_01-55-29.wav,Silence,0.978,0.0004,Vehicle,False
8,2026-08-17T01:58:02,2026-08-17T01:58:04,2.0,2026-08-17T01:58:04,67.52,46.51,2026-08-17T01:57:47,2026-08-17T01:58:19,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_01-58-04.wav,Silence,0.9198,0.0066,Vehicle,False
9,2026-08-17T02:14:03,2026-08-17T02:14:05,2.0,2026-08-17T02:14:05,69.35,45.93,2026-08-17T02:13:48,2026-08-17T02:14:20,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_02-14-05.wav,Silence,0.9636,0.0038,Vehicle,False
10,2026-08-17T02:26:13,2026-08-17T02:26:15,2.0,2026-08-17T02:26:14,65.58,46.75,2026-08-17T02:25:58,2026-08-17T02:26:30,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_02-26-14.wav,Silence,0.9665,0.0032,Vehicle,False
11,2026-08-17T03:05:30,2026-08-17T03:05:33,3.0,2026-08-17T03:05:32,61.59,45.73,2026-08-17T03:05:15,2026-08-17T03:05:48,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_03-05-32.wav,Silence,0.9844,0.0002,Vehicle,False
12,2026-08-17T03:26:16,2026-08-17T03:26:18,2.0,2026-08-17T03:26:17,68.79,45.7,2026-08-17T03:26:01,2026-08-17T03:26:33,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_03-26-17.wav,Silence,0.9755,0.0002,Motor vehicle (road),False
13,2026-08-17T03:39:44,2026-08-17T03:39:50,6.0,2026-08-17T03:39:48,68.76,47.13,2026-08-17T03:39:29,2026-08-17T03:40:05,36.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_03-39-48.wav,Silence,0.9132,0.0037,Vehicle,False
14,2026-08-17T03:51:08,2026-08-17T03:51:11,3.0,2026-08-17T03:51:10,64.09,46.23,2026-08-17T03:50:53,2026-08-17T03:51:26,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_03-51-10.wav,Silence,0.972,0.0004,Vehicle,False
15,2026-08-17T03:52:14,2026-08-17T03:52:16,2.0,2026-08-17T03:52:15,62.52,46.58,2026-08-17T03:51:59,2026-08-17T03:52:31,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_03-52-15.wav,Silence,0.9682,0.0015,Vehicle,False
16,2026-08-17T03:54:42,2026-08-17T03:54:47,5.0,2026-08-17T03:54:45,64.31,46.01,2026-08-17T03:54:27,2026-08-17T03:55:02,35.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_03-54-45.wav,Silence,0.9198,0.0025,Vehicle,False
17,2026-08-17T03:57:07,2026-08-17T03:57:09,2.0,2026-08-17T03:57:09,62.76,46.37,2026-08-17T03:56:52,2026-08-17T03:57:24,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_03-57-09.wav,Silence,0.9894,0.0001,Vehicle,False
18,2026-08-17T04:07:29,2026-08-17T04:07:33,4.0,2026-08-17T04:07:32,64.05,46.08,2026-08-17T04:07:14,2026-08-17T04:07:48,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_04-07-32.wav,Silence,0.9456,0.0019,Vehicle,False
19,2026-08-17T04:23:23,2026-08-17T04:23:27,4.0,2026-08-17T04:23:26,66.98,47.49,2026-08-17T04:23:08,2026-08-17T04:23:42,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_04-23-26.wav,Silence,0.8912,0.0087,Vehicle,False
20,2026-08-17T04:33:44,2026-08-17T04:33:47,3.0,2026-08-17T04:33:45,65.41,49.2,2026-08-17T04:33:29,2026-08-17T04:34:02,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_04-33-45.wav,Silence,0.8868,0.0095,Vehicle,False
21,2026-08-17T04:42:34,2026-08-17T04:42:37,3.0,2026-08-17T04:42:36,68.18,49.4,2026-08-17T04:42:19,2026-08-17T04:42:52,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_04-42-36.wav,Silence,0.9761,0.0029,Vehicle,False
22,2026-08-17T04:46:25,2026-08-17T04:46:27,2.0,2026-08-17T04:46:26,67.57,50.12,2026-08-17T04:46:10,2026-08-17T04:46:42,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_04-46-26.wav,Silence,0.9089,0.009,Vehicle,False
23,2026-08-17T04:47:53,2026-08-17T04:48:01,8.0,2026-08-17T04:47:55,66.04,47.63,2026-08-17T04:47:38,2026-08-17T04:48:16,38.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_04-47-55.wav,Silence,0.843,0.015,Vehicle,False
24,2026-08-17T05:12:17,2026-08-17T05:12:19,2.0,2026-08-17T05:12:18,67.99,51.76,2026-08-17T05:12:02,2026-08-17T05:12:34,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_05-12-18.wav,Silence,0.8516,0.0074,Vehicle,False
25,2026-08-17T05:14:35,2026-08-17T05:14:38,3.0,2026-08-17T05:14:36,65.01,47.87,2026-08-17T05:14:20,2026-08-17T05:14:53,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_05-14-36.wav,Silence,0.9666,0.0021,Vehicle,False
26,2026-08-17T05:15:11,2026-08-17T05:15:14,3.0,2026-08-17T05:15:13,69.78,50.75,2026-08-17T05:14:56,2026-08-17T05:15:29,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_05-15-13.wav,Silence,0.871,0.0102,Vehicle,False
27,2026-08-17T05:28:36,2026-08-17T05:28:41,5.0,2026-08-17T05:28:41,72.36,50.82,2026-08-17T05:28:21,2026-08-17T05:28:56,35.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_05-28-41.wav,Silence,0.8045,0.0183,Vehicle,False
28,2026-08-17T05:44:43,2026-08-17T05:44:47,4.0,2026-08-17T05:44:44,66.76,49.69,2026-08-17T05:44:28,2026-08-17T05:45:02,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_05-44-44.wav,Silence,0.8665,0.0116,Vehicle,False
29,2026-08-17T05:47:43,2026-08-17T05:47:49,6.0,2026-08-17T05:47:46,68.7,47.03,2026-08-17T05:47:28,2026-08-17T05:48:04,36.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_05-47-46.wav,Silence,0.916,0.0068,Vehicle,False
30,2026-08-17T06:01:46,2026-08-17T06:01:50,4.0,2026-08-17T06:01:47,67.38,50.27,2026-08-17T06:01:31,2026-08-17T06:02:05,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_06-01-47.wav,Silence,0.8263,0.0172,Vehicle,False
31,2026-08-17T06:03:59,2026-08-17T06:04:14,15.0,2026-08-17T06:04:03,85.8,58.73,2026-08-17T06:03:44,2026-08-17T06:04:29,45.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_06-04-03.wav,Silence,0.4932,0.101,Vehicle,True
32,2026-08-17T06:06:15,2026-08-17T06:06:19,4.0,2026-08-17T06:06:17,66.38,46.86,2026-08-17T06:06:00,2026-08-17T06:06:34,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_06-06-17.wav,Silence,0.8971,0.0023,Vehicle,False
33,2026-08-17T06:06:29,2026-08-17T06:06:32,3.0,2026-08-17T06:06:30,65.91,47.84,2026-08-17T06:06:14,2026-08-17T06:06:47,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_06-06-30.wav,Silence,0.9051,0.002,Vehicle,False
34,2026-08-17T06:09:38,2026-08-17T06:09:40,2.0,2026-08-17T06:09:40,68.43,49.63,2026-08-17T06:09:23,2026-08-17T06:09:55,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_06-09-40.wav,Silence,0.9207,0.0058,Vehicle,False
35,2026-08-17T06:10:21,2026-08-17T06:10:32,11.0,2026-08-17T06:10:27,77.92,49.56,2026-08-17T06:10:06,2026-08-17T06:10:47,41.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_06-10-27.wav,Silence,0.7993,0.03,Vehicle,False
36,2026-08-17T06:16:24,2026-08-17T06:16:27,3.0,2026-08-17T06:16:26,66.04,48.08,2026-08-17T06:16:09,2026-08-17T06:16:42,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-16/peak_audio_clips_2026-08-16/2026-08-17_06-16-26.wav,Silence,0.8322,0.0135,Vehicle,False
