event_id,start,end,loud_duration_seconds,peak_time,peak_db,baseline_db,clip_window_start,clip_window_end,clip_duration_seconds,clip_file,top_class,top_class_confidence,vehicle_confidence,vehicle_matched_class,is_vehicle
0,2026-08-22T00:05:18,2026-08-22T00:05:21,3.0,2026-08-22T00:05:20,72.33,53.42,2026-08-22T00:05:03,2026-08-22T00:05:36,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-21/peak_audio_clips_2026-08-21/2026-08-22_00-05-20.wav,Silence,0.9564,0.0016,Vehicle,False
1,2026-08-22T00:27:30,2026-08-22T00:27:36,6.0,2026-08-22T00:27:34,77.66,53.65,2026-08-22T00:27:15,2026-08-22T00:27:51,36.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-21/peak_audio_clips_2026-08-21/2026-08-22_00-27-34.wav,Silence,0.7648,0.0139,Vehicle,False
2,2026-08-22T01:05:01,2026-08-22T01:05:03,2.0,2026-08-22T01:05:03,70.46,50.41,2026-08-22T01:04:46,2026-08-22T01:05:18,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-21/peak_audio_clips_2026-08-21/2026-08-22_01-05-03.wav,Silence,0.9143,0.0028,Vehicle,False
3,2026-08-22T01:46:22,2026-08-22T01:46:24,2.0,2026-08-22T01:46:23,67.99,50.54,2026-08-22T01:46:07,2026-08-22T01:46:39,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-21/peak_audio_clips_2026-08-21/2026-08-22_01-46-23.wav,Silence,0.9054,0.0043,Vehicle,False
4,2026-08-22T03:30:59,2026-08-22T03:31:01,2.0,2026-08-22T03:30:59,70.63,50.08,2026-08-22T03:30:44,2026-08-22T03:31:16,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-21/peak_audio_clips_2026-08-21/2026-08-22_03-30-59.wav,Silence,0.976,0.0003,Vehicle,False
5,2026-08-22T03:32:40,2026-08-22T03:32:42,2.0,2026-08-22T03:32:40,70.32,50.05,2026-08-22T03:32:25,2026-08-22T03:32:57,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-21/peak_audio_clips_2026-08-21/2026-08-22_03-32-40.wav,Silence,0.9895,0.0003,Vehicle,False
6,2026-08-22T03:42:52,2026-08-22T03:42:54,2.0,2026-08-22T03:42:54,69.97,50.3,2026-08-22T03:42:37,2026-08-22T03:43:09,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-21/peak_audio_clips_2026-08-21/2026-08-22_03-42-54.wav,Silence,0.9546,0.0009,Vehicle,False
7,2026-08-22T05:16:36,2026-08-22T05:16:38,2.0,2026-08-22T05:16:37,69.86,50.17,2026-08-22T05:16:21,2026-08-22T05:16:53,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-21/peak_audio_clips_2026-08-21/2026-08-22_05-16-37.wav,Silence,0.9272,0.0067,Vehicle,False
8,2026-08-22T05:27:06,2026-08-22T05:27:09,3.0,2026-08-22T05:27:08,73.86,49.65,2026-08-22T05:26:51,2026-08-22T05:27:24,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-21/peak_audio_clips_2026-08-21/2026-08-22_05-27-08.wav,Silence,0.8639,0.033,Vehicle,False
9,2026-08-22T06:20:18,2026-08-22T06:20:22,4.0,2026-08-22T06:20:21,68.54,50.83,2026-08-22T06:20:03,2026-08-22T06:20:37,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-21/peak_audio_clips_2026-08-21/2026-08-22_06-20-21.wav,Silence,0.8487,0.0045,Vehicle,False
