event_id,start,end,loud_duration_seconds,peak_time,peak_db,baseline_db,clip_window_start,clip_window_end,clip_duration_seconds,clip_file,top_class,top_class_confidence,vehicle_confidence,vehicle_matched_class,is_vehicle
0,2026-08-26T00:30:33,2026-08-26T00:30:39,6.0,2026-08-26T00:30:35,76.11,51.09,2026-08-26T00:30:18,2026-08-26T00:30:54,36.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-25/peak_audio_clips_2026-08-25/2026-08-26_00-30-35.wav,Silence,0.4731,0.0478,Vehicle,True
1,2026-08-26T03:49:33,2026-08-26T03:49:35,2.0,2026-08-26T03:49:34,66.52,50.27,2026-08-26T03:49:18,2026-08-26T03:49:50,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-25/peak_audio_clips_2026-08-25/2026-08-26_03-49-34.wav,Silence,0.3426,0.0902,Vehicle,True
2,2026-08-26T05:02:34,2026-08-26T05:02:37,3.0,2026-08-26T05:02:36,76.62,56.84,2026-08-26T05:02:19,2026-08-26T05:02:52,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-25/peak_audio_clips_2026-08-25/2026-08-26_05-02-36.wav,Silence,0.1849,0.181,Vehicle,True
3,2026-08-26T05:55:54,2026-08-26T05:56:04,10.0,2026-08-26T05:55:59,94.57,57.37,2026-08-26T05:55:39,2026-08-26T05:56:19,40.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-25/peak_audio_clips_2026-08-25/2026-08-26_05-55-59.wav,Vehicle,0.2193,0.2193,Vehicle,True
4,2026-08-26T06:02:48,2026-08-26T06:02:53,5.0,2026-08-26T06:02:49,76.99,55.59,2026-08-26T06:02:33,2026-08-26T06:03:08,35.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-25/peak_audio_clips_2026-08-25/2026-08-26_06-02-49.wav,Vehicle,0.1919,0.1919,Vehicle,True
5,2026-08-26T06:03:18,2026-08-26T06:03:25,7.0,2026-08-26T06:03:21,79.54,56.04,2026-08-26T06:03:03,2026-08-26T06:03:40,37.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-25/peak_audio_clips_2026-08-25/2026-08-26_06-03-21.wav,Vehicle,0.1764,0.1764,Vehicle,True
