event_id,centroid_timestamp,isolated_db_a,isolation_note,used_raw_peak_fallback,vehicle_confidence,top_class,exceeds_who_45db_threshold,raw_peak_db,raw_baseline_db
0,2026-08-26T00:30:35.865,72.63,ok,False,0.0478,Silence,True,76.11,51.09
1,2026-08-26T03:49:34.078,65.83,ok,False,0.0902,Silence,True,66.52,50.27
2,2026-08-26T05:02:35.688,75.31,ok,False,0.181,Silence,True,76.62,56.84
3,2026-08-26T05:55:58.612,87.89,ok,False,0.2193,Vehicle,True,94.57,57.37
4,2026-08-26T06:02:50.187,74.41,ok,False,0.1919,Vehicle,True,76.99,55.59
5,2026-08-26T06:03:21.395,75.83,ok,False,0.1764,Vehicle,True,79.54,56.04
