event_id,start,end,loud_duration_seconds,peak_time,peak_db,baseline_db,clip_window_start,clip_window_end,clip_duration_seconds,clip_file,top_class,top_class_confidence,vehicle_confidence,vehicle_matched_class,is_vehicle
0,2026-08-23T00:04:07,2026-08-23T00:04:09,2.0,2026-08-23T00:04:08,65.02,46.7,2026-08-23T00:03:52,2026-08-23T00:04:24,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-22/peak_audio_clips_2026-08-22/2026-08-23_00-04-08.wav,Silence,0.41,0.0662,Vehicle,True
1,2026-08-23T00:08:21,2026-08-23T00:08:25,4.0,2026-08-23T00:08:23,75.86,50.24,2026-08-23T00:08:06,2026-08-23T00:08:40,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-22/peak_audio_clips_2026-08-22/2026-08-23_00-08-23.wav,Silence,0.1962,0.1453,Vehicle,True
2,2026-08-23T00:30:23,2026-08-23T00:30:27,4.0,2026-08-23T00:30:24,66.97,47.33,2026-08-23T00:30:08,2026-08-23T00:30:42,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-22/peak_audio_clips_2026-08-22/2026-08-23_00-30-24.wav,Silence,0.3328,0.0795,Vehicle,True
3,2026-08-23T00:38:59,2026-08-23T00:39:01,2.0,2026-08-23T00:38:59,63.04,47.65,2026-08-23T00:38:44,2026-08-23T00:39:16,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-22/peak_audio_clips_2026-08-22/2026-08-23_00-38-59.wav,White noise,0.2106,0.0744,Vehicle,True
4,2026-08-23T00:42:58,2026-08-23T00:43:00,2.0,2026-08-23T00:42:59,65.34,46.51,2026-08-23T00:42:43,2026-08-23T00:43:15,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-22/peak_audio_clips_2026-08-22/2026-08-23_00-42-59.wav,Silence,0.6004,0.0634,Vehicle,True
5,2026-08-23T00:46:00,2026-08-23T00:46:04,4.0,2026-08-23T00:46:02,65.6,46.65,2026-08-23T00:45:45,2026-08-23T00:46:19,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-22/peak_audio_clips_2026-08-22/2026-08-23_00-46-02.wav,Silence,0.3653,0.0852,Vehicle,True
6,2026-08-23T01:04:00,2026-08-23T01:04:02,2.0,2026-08-23T01:04:02,64.91,46.67,2026-08-23T01:03:45,2026-08-23T01:04:17,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-22/peak_audio_clips_2026-08-22/2026-08-23_01-04-02.wav,Silence,0.5636,0.0324,Vehicle,False
7,2026-08-23T01:14:48,2026-08-23T01:14:50,2.0,2026-08-23T01:14:50,65.22,47.42,2026-08-23T01:14:33,2026-08-23T01:15:05,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-22/peak_audio_clips_2026-08-22/2026-08-23_01-14-50.wav,Silence,0.395,0.0481,Vehicle,False
8,2026-08-23T01:48:47,2026-08-23T01:48:50,3.0,2026-08-23T01:48:48,67.88,47.13,2026-08-23T01:48:32,2026-08-23T01:49:05,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-22/peak_audio_clips_2026-08-22/2026-08-23_01-48-48.wav,Vehicle,0.2107,0.2107,Vehicle,True
9,2026-08-23T01:52:07,2026-08-23T01:52:17,10.0,2026-08-23T01:52:08,74.16,47.52,2026-08-23T01:51:52,2026-08-23T01:52:32,40.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-22/peak_audio_clips_2026-08-22/2026-08-23_01-52-08.wav,Silence,0.2553,0.1587,Vehicle,True
