event_id,start,end,loud_duration_seconds,peak_time,peak_db,baseline_db,clip_window_start,clip_window_end,clip_duration_seconds,clip_file
0,2026-08-20T00:02:27,2026-08-20T00:02:29,2.0,2026-08-20T00:02:29,63.16,45.09,2026-08-20T00:02:12,2026-08-20T00:02:44,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_00-02-29.wav
1,2026-08-20T00:05:25,2026-08-20T00:05:27,2.0,2026-08-20T00:05:27,64.63,45.22,2026-08-20T00:05:10,2026-08-20T00:05:42,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_00-05-27.wav
2,2026-08-20T00:33:28,2026-08-20T00:33:36,8.0,2026-08-20T00:33:32,78.57,47.07,2026-08-20T00:33:13,2026-08-20T00:33:51,38.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_00-33-32.wav
3,2026-08-20T00:46:32,2026-08-20T00:46:35,3.0,2026-08-20T00:46:34,64.97,46.23,2026-08-20T00:46:17,2026-08-20T00:46:50,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_00-46-34.wav
4,2026-08-20T00:50:06,2026-08-20T00:50:10,4.0,2026-08-20T00:50:09,63.57,44.67,2026-08-20T00:49:51,2026-08-20T00:50:25,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_00-50-09.wav
5,2026-08-20T00:50:55,2026-08-20T00:50:57,2.0,2026-08-20T00:50:56,65.99,46.92,2026-08-20T00:50:40,2026-08-20T00:51:12,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_00-50-56.wav
6,2026-08-20T00:54:17,2026-08-20T00:54:19,2.0,2026-08-20T00:54:18,61.61,44.8,2026-08-20T00:54:02,2026-08-20T00:54:34,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_00-54-18.wav
7,2026-08-20T01:19:54,2026-08-20T01:19:56,2.0,2026-08-20T01:19:56,65.29,45.52,2026-08-20T01:19:39,2026-08-20T01:20:11,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_01-19-56.wav
8,2026-08-20T01:39:39,2026-08-20T01:39:41,2.0,2026-08-20T01:39:40,62.89,45.88,2026-08-20T01:39:24,2026-08-20T01:39:56,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_01-39-40.wav
9,2026-08-20T01:41:19,2026-08-20T01:41:21,2.0,2026-08-20T01:41:21,63.27,45.92,2026-08-20T01:41:04,2026-08-20T01:41:36,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_01-41-21.wav
10,2026-08-20T01:49:12,2026-08-20T01:49:14,2.0,2026-08-20T01:49:14,65.34,45.72,2026-08-20T01:48:57,2026-08-20T01:49:29,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_01-49-14.wav
11,2026-08-20T02:54:37,2026-08-20T02:54:39,2.0,2026-08-20T02:54:38,64.3,45.85,2026-08-20T02:54:22,2026-08-20T02:54:54,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_02-54-38.wav
12,2026-08-20T03:01:43,2026-08-20T03:01:45,2.0,2026-08-20T03:01:44,64.4,45.79,2026-08-20T03:01:28,2026-08-20T03:02:00,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_03-01-44.wav
13,2026-08-20T03:01:59,2026-08-20T03:02:01,2.0,2026-08-20T03:02:01,63.73,47.02,2026-08-20T03:01:44,2026-08-20T03:02:16,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_03-02-01.wav
14,2026-08-20T03:05:28,2026-08-20T03:05:30,2.0,2026-08-20T03:05:29,61.57,45.17,2026-08-20T03:05:13,2026-08-20T03:05:45,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_03-05-29.wav
15,2026-08-20T03:13:18,2026-08-20T03:13:21,3.0,2026-08-20T03:13:20,62.72,45.37,2026-08-20T03:13:03,2026-08-20T03:13:36,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_03-13-20.wav
16,2026-08-20T03:22:23,2026-08-20T03:22:25,2.0,2026-08-20T03:22:25,66.59,45.55,2026-08-20T03:22:08,2026-08-20T03:22:40,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_03-22-25.wav
17,2026-08-20T03:27:18,2026-08-20T03:27:22,4.0,2026-08-20T03:27:20,64.97,45.31,2026-08-20T03:27:03,2026-08-20T03:27:37,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_03-27-20.wav
18,2026-08-20T03:36:10,2026-08-20T03:36:13,3.0,2026-08-20T03:36:12,62.66,45.61,2026-08-20T03:35:55,2026-08-20T03:36:28,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_03-36-12.wav
19,2026-08-20T03:44:23,2026-08-20T03:44:28,5.0,2026-08-20T03:44:25,64.05,45.89,2026-08-20T03:44:08,2026-08-20T03:44:43,35.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_03-44-25.wav
20,2026-08-20T03:48:44,2026-08-20T03:48:47,3.0,2026-08-20T03:48:46,64.55,45.56,2026-08-20T03:48:29,2026-08-20T03:49:02,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_03-48-46.wav
21,2026-08-20T03:53:14,2026-08-20T03:53:16,2.0,2026-08-20T03:53:16,67.23,46.24,2026-08-20T03:52:59,2026-08-20T03:53:31,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_03-53-16.wav
22,2026-08-20T03:54:23,2026-08-20T03:54:25,2.0,2026-08-20T03:54:24,66.0,46.22,2026-08-20T03:54:08,2026-08-20T03:54:40,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_03-54-24.wav
23,2026-08-20T03:57:53,2026-08-20T03:57:55,2.0,2026-08-20T03:57:55,61.86,45.74,2026-08-20T03:57:38,2026-08-20T03:58:10,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_03-57-55.wav
24,2026-08-20T04:00:34,2026-08-20T04:00:37,3.0,2026-08-20T04:00:36,63.15,45.72,2026-08-20T04:00:19,2026-08-20T04:00:52,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_04-00-36.wav
