event_id,start,end,loud_duration_seconds,peak_time,peak_db,baseline_db,clip_window_start,clip_window_end,clip_duration_seconds,clip_file
25,2026-08-20T04:03:13,2026-08-20T04:03:15,2.0,2026-08-20T04:03:15,65.32,46.09,2026-08-20T04:02:58,2026-08-20T04:03:30,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_04-03-15.wav
26,2026-08-20T04:05:51,2026-08-20T04:05:53,2.0,2026-08-20T04:05:52,64.22,46.54,2026-08-20T04:05:36,2026-08-20T04:06:08,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_04-05-52.wav
27,2026-08-20T04:10:46,2026-08-20T04:10:49,3.0,2026-08-20T04:10:48,65.21,46.28,2026-08-20T04:10:31,2026-08-20T04:11:04,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_04-10-48.wav
28,2026-08-20T04:24:24,2026-08-20T04:24:27,3.0,2026-08-20T04:24:26,65.14,46.64,2026-08-20T04:24:09,2026-08-20T04:24:42,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_04-24-26.wav
29,2026-08-20T04:30:51,2026-08-20T04:30:55,4.0,2026-08-20T04:30:53,65.31,48.45,2026-08-20T04:30:36,2026-08-20T04:31:10,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_04-30-53.wav
30,2026-08-20T04:45:14,2026-08-20T04:45:16,2.0,2026-08-20T04:45:15,65.13,46.96,2026-08-20T04:44:59,2026-08-20T04:45:31,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_04-45-15.wav
31,2026-08-20T04:51:24,2026-08-20T04:51:26,2.0,2026-08-20T04:51:26,68.31,49.44,2026-08-20T04:51:09,2026-08-20T04:51:41,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_04-51-26.wav
32,2026-08-20T05:03:13,2026-08-20T05:03:22,9.0,2026-08-20T05:03:17,75.04,50.74,2026-08-20T05:02:58,2026-08-20T05:03:37,39.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-03-17.wav
33,2026-08-20T05:07:39,2026-08-20T05:07:48,9.0,2026-08-20T05:07:43,80.2,48.22,2026-08-20T05:07:24,2026-08-20T05:08:03,39.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-07-43.wav
34,2026-08-20T05:12:29,2026-08-20T05:12:31,2.0,2026-08-20T05:12:30,64.32,46.71,2026-08-20T05:12:14,2026-08-20T05:12:46,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-12-30.wav
35,2026-08-20T05:14:08,2026-08-20T05:14:11,3.0,2026-08-20T05:14:08,62.67,46.46,2026-08-20T05:13:53,2026-08-20T05:14:26,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-14-08.wav
36,2026-08-20T05:18:20,2026-08-20T05:18:26,6.0,2026-08-20T05:18:24,69.91,50.55,2026-08-20T05:18:05,2026-08-20T05:18:41,36.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-18-24.wav
37,2026-08-20T05:21:51,2026-08-20T05:21:53,2.0,2026-08-20T05:21:51,66.63,50.08,2026-08-20T05:21:36,2026-08-20T05:22:08,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-21-51.wav
38,2026-08-20T05:28:06,2026-08-20T05:28:10,4.0,2026-08-20T05:28:08,65.43,46.42,2026-08-20T05:27:51,2026-08-20T05:28:25,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-28-08.wav
39,2026-08-20T05:28:12,2026-08-20T05:28:14,2.0,2026-08-20T05:28:14,62.98,46.67,2026-08-20T05:27:57,2026-08-20T05:28:29,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-28-14.wav
40,2026-08-20T05:30:17,2026-08-20T05:30:22,5.0,2026-08-20T05:30:19,67.9,47.41,2026-08-20T05:30:02,2026-08-20T05:30:37,35.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-30-19.wav
41,2026-08-20T05:32:28,2026-08-20T05:32:34,6.0,2026-08-20T05:32:30,68.0,47.76,2026-08-20T05:32:13,2026-08-20T05:32:49,36.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-32-30.wav
42,2026-08-20T05:41:20,2026-08-20T05:41:25,5.0,2026-08-20T05:41:23,65.29,49.59,2026-08-20T05:41:05,2026-08-20T05:41:40,35.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-41-23.wav
43,2026-08-20T05:42:29,2026-08-20T05:42:38,9.0,2026-08-20T05:42:33,81.2,52.51,2026-08-20T05:42:14,2026-08-20T05:42:53,39.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-42-33.wav
44,2026-08-20T05:54:41,2026-08-20T05:54:44,3.0,2026-08-20T05:54:43,67.4,49.99,2026-08-20T05:54:26,2026-08-20T05:54:59,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-54-43.wav
45,2026-08-20T05:56:17,2026-08-20T05:56:20,3.0,2026-08-20T05:56:19,77.37,56.7,2026-08-20T05:56:02,2026-08-20T05:56:35,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_05-56-19.wav
46,2026-08-20T06:04:34,2026-08-20T06:04:42,8.0,2026-08-20T06:04:37,77.48,50.21,2026-08-20T06:04:19,2026-08-20T06:04:57,38.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_06-04-37.wav
47,2026-08-20T06:05:02,2026-08-20T06:05:05,3.0,2026-08-20T06:05:03,71.0,53.23,2026-08-20T06:04:47,2026-08-20T06:05:20,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_06-05-03.wav
48,2026-08-20T06:11:55,2026-08-20T06:11:59,4.0,2026-08-20T06:11:57,67.68,50.84,2026-08-20T06:11:40,2026-08-20T06:12:14,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_06-11-57.wav
49,2026-08-20T06:14:11,2026-08-20T06:14:18,7.0,2026-08-20T06:14:13,73.34,54.69,2026-08-20T06:13:56,2026-08-20T06:14:33,37.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_06-14-13.wav
50,2026-08-20T06:14:22,2026-08-20T06:14:24,2.0,2026-08-20T06:14:24,72.19,55.7,2026-08-20T06:14:07,2026-08-20T06:14:39,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_06-14-24.wav
51,2026-08-20T06:17:59,2026-08-20T06:18:01,2.0,2026-08-20T06:18:00,72.49,55.12,2026-08-20T06:17:44,2026-08-20T06:18:16,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_06-18-00.wav
52,2026-08-20T06:19:36,2026-08-20T06:19:42,6.0,2026-08-20T06:19:38,74.16,54.16,2026-08-20T06:19:21,2026-08-20T06:19:57,36.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_06-19-38.wav
53,2026-08-20T06:19:51,2026-08-20T06:19:57,6.0,2026-08-20T06:19:54,78.15,54.57,2026-08-20T06:19:36,2026-08-20T06:20:12,36.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_06-19-54.wav
54,2026-08-20T06:21:34,2026-08-20T06:21:38,4.0,2026-08-20T06:21:37,83.56,57.66,2026-08-20T06:21:19,2026-08-20T06:21:53,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_06-21-37.wav
55,2026-08-20T06:23:17,2026-08-20T06:23:20,3.0,2026-08-20T06:23:19,79.15,57.61,2026-08-20T06:23:02,2026-08-20T06:23:35,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-19/peak_audio_clips_2026-08-19/2026-08-20_06-23-19.wav
