event_id,start,end,loud_duration_seconds,peak_time,peak_db,baseline_db,clip_window_start,clip_window_end,clip_duration_seconds,clip_file,top_class,top_class_confidence,vehicle_confidence,vehicle_matched_class,is_vehicle
0,2026-09-10T04:37:00,2026-09-10T04:37:02,2.0,2026-09-10T04:37:00,65.77,43.91,2026-09-10T04:36:45,2026-09-10T04:37:17,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-09/peak_audio_clips_2026-09-09/2026-09-10_04-37-00.wav,Silence,0.8056,0.0001,Vehicle,False
1,2026-09-10T06:09:36,2026-09-10T06:09:38,2.0,2026-09-10T06:09:37,63.35,45.7,2026-09-10T06:09:21,2026-09-10T06:09:53,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-09/peak_audio_clips_2026-09-09/2026-09-10_06-09-37.wav,Silence,0.6373,0.0069,Vehicle,False
2,2026-09-10T06:17:22,2026-09-10T06:17:26,4.0,2026-09-10T06:17:23,67.78,49.1,2026-09-10T06:17:07,2026-09-10T06:17:41,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-09/peak_audio_clips_2026-09-09/2026-09-10_06-17-23.wav,Silence,0.5525,0.0113,Vehicle,False
