event_id,start,end,loud_duration_seconds,peak_time,peak_db,baseline_db,clip_window_start,clip_window_end,clip_duration_seconds,clip_file,top_class,top_class_confidence,vehicle_confidence,vehicle_matched_class,is_vehicle
0,2026-09-08T00:47:46,2026-09-08T00:47:50,4.0,2026-09-08T00:47:48,66.86,45.73,2026-09-08T00:47:31,2026-09-08T00:48:05,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_00-47-48.wav,Silence,0.4602,0.0248,Vehicle,False
1,2026-09-08T01:14:56,2026-09-08T01:14:59,3.0,2026-09-08T01:14:58,63.1,45.84,2026-09-08T01:14:41,2026-09-08T01:15:14,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_01-14-58.wav,Silence,0.4812,0.0593,Vehicle,True
2,2026-09-08T01:33:14,2026-09-08T01:33:17,3.0,2026-09-08T01:33:15,60.79,45.21,2026-09-08T01:32:59,2026-09-08T01:33:32,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_01-33-15.wav,Silence,0.4471,0.0384,Vehicle,True
3,2026-09-08T01:54:45,2026-09-08T01:54:48,3.0,2026-09-08T01:54:47,62.82,44.57,2026-09-08T01:54:30,2026-09-08T01:55:03,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_01-54-47.wav,Silence,0.5584,0.0237,Vehicle,False
4,2026-09-08T03:17:07,2026-09-08T03:17:09,2.0,2026-09-08T03:17:09,60.66,45.0,2026-09-08T03:16:52,2026-09-08T03:17:24,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_03-17-09.wav,Silence,0.5457,0.048,Vehicle,True
5,2026-09-08T03:36:13,2026-09-08T03:36:16,3.0,2026-09-08T03:36:14,63.7,45.22,2026-09-08T03:35:58,2026-09-08T03:36:31,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_03-36-14.wav,Silence,0.4323,0.046,Vehicle,True
6,2026-09-08T03:46:02,2026-09-08T03:46:04,2.0,2026-09-08T03:46:03,61.61,45.63,2026-09-08T03:45:47,2026-09-08T03:46:19,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_03-46-03.wav,Silence,0.3885,0.0455,Vehicle,True
7,2026-09-08T04:10:13,2026-09-08T04:10:16,3.0,2026-09-08T04:10:14,63.89,46.26,2026-09-08T04:09:58,2026-09-08T04:10:31,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_04-10-14.wav,Silence,0.4447,0.0654,Vehicle,True
8,2026-09-08T04:23:41,2026-09-08T04:23:44,3.0,2026-09-08T04:23:43,66.62,47.16,2026-09-08T04:23:26,2026-09-08T04:23:59,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_04-23-43.wav,Silence,0.3458,0.0634,Vehicle,True
9,2026-09-08T05:23:58,2026-09-08T05:24:05,7.0,2026-09-08T05:24:01,78.53,52.68,2026-09-08T05:23:43,2026-09-08T05:24:20,37.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_05-24-01.wav,Silence,0.2288,0.1595,Vehicle,True
10,2026-09-08T05:37:30,2026-09-08T05:37:34,4.0,2026-09-08T05:37:33,72.89,52.65,2026-09-08T05:37:15,2026-09-08T05:37:49,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_05-37-33.wav,Vehicle,0.1894,0.1894,Vehicle,True
11,2026-09-08T05:50:46,2026-09-08T05:50:49,3.0,2026-09-08T05:50:48,71.54,49.55,2026-09-08T05:50:31,2026-09-08T05:51:04,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_05-50-48.wav,Vehicle,0.2519,0.2519,Vehicle,True
12,2026-09-08T06:02:02,2026-09-08T06:02:06,4.0,2026-09-08T06:02:04,65.27,47.98,2026-09-08T06:01:47,2026-09-08T06:02:21,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_06-02-04.wav,Silence,0.3611,0.0453,Vehicle,True
13,2026-09-08T06:20:48,2026-09-08T06:20:50,2.0,2026-09-08T06:20:50,70.9,53.61,2026-09-08T06:20:33,2026-09-08T06:21:05,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_06-20-50.wav,Vehicle,0.2021,0.2021,Vehicle,True
14,2026-09-08T06:21:01,2026-09-08T06:21:06,5.0,2026-09-08T06:21:04,78.01,54.35,2026-09-08T06:20:46,2026-09-08T06:21:21,35.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_06-21-04.wav,Silence,0.1964,0.1426,Vehicle,True
15,2026-09-08T06:23:53,2026-09-08T06:23:56,3.0,2026-09-08T06:23:55,74.15,53.42,2026-09-08T06:23:38,2026-09-08T06:24:11,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-07/peak_audio_clips_2026-09-07/2026-09-08_06-23-55.wav,"Inside, small room",0.2063,0.0898,Vehicle,True
