event_id,centroid_timestamp,isolated_db_a,isolation_note,used_raw_peak_fallback,vehicle_confidence,top_class,exceeds_who_45db_threshold,raw_peak_db,raw_baseline_db
0,2026-09-09T00:03:17.200,67.3,ok,False,0.0873,Silence,True,69.4,48.08
1,2026-09-09T00:08:38.945,63.96,ok,False,0.048,Silence,True,65.45,47.42
2,2026-09-09T00:15:15.089,61.06,ok,False,0.0443,Silence,True,62.3,45.98
3,2026-09-09T00:27:30.022,65.61,ok,False,0.0504,Silence,True,67.21,46.42
4,2026-09-09T00:29:30.976,60.91,ok,False,0.0271,Silence,True,62.07,45.09
6,2026-09-09T00:53:26.975,66.84,ok,False,0.0651,Silence,True,69.01,49.44
7,2026-09-09T01:42:41.172,62.8,ok,False,0.0429,Silence,True,63.76,44.72
8,2026-09-09T01:50:00.091,59.81,ok,False,0.042,Silence,True,60.82,44.3
9,2026-09-09T02:21:11.759,62.49,ok,False,0.029,Silence,True,63.98,44.33
10,2026-09-09T02:31:33.064,65.14,ok,False,0.0342,Silence,True,69.03,45.07
12,2026-09-09T03:04:08.387,61.68,ok,False,0.0589,Silence,True,62.91,44.17
13,2026-09-09T03:17:44.542,69.35,ok,False,0.0647,Silence,True,72.14,46.73
14,2026-09-09T03:29:29.439,61.23,ok,False,0.0608,Silence,True,62.33,44.54
15,2026-09-09T03:38:47.227,67.09,ok,False,0.0701,Silence,True,69.74,47.2
16,2026-09-09T03:41:34.316,61.22,ok,False,0.0564,Silence,True,63.36,44.52
17,2026-09-09T03:46:36.048,65.35,ok,False,0.056,Silence,True,68.26,44.41
18,2026-09-09T03:52:29.926,59.92,ok,False,0.0645,Silence,True,61.13,44.99
19,2026-09-09T03:55:01.937,62.24,ok,False,0.0503,Silence,True,64.51,44.85
20,2026-09-09T04:21:47.458,62.61,ok,False,0.0728,Silence,True,63.33,46.03
21,2026-09-09T04:45:04.491,60.38,ok,False,0.0798,Silence,True,61.61,45.58
22,2026-09-09T04:56:19.369,69.42,ok,False,0.0568,Silence,True,72.75,46.92
23,2026-09-09T05:15:57.078,61.42,ok,False,0.0767,Silence,True,62.41,46.12
24,2026-09-09T05:29:09.205,67.02,ok,False,0.0377,Silence,True,71.14,46.16
25,2026-09-09T05:29:46.335,71.57,ok,False,0.0904,Silence,True,75.7,49.34
26,2026-09-09T06:06:02.744,70.83,ok,False,0.1612,Silence,True,73.83,50.66
27,2026-09-09T06:08:59.781,65.76,ok,False,0.1343,Silence,True,69.73,47.3
28,2026-09-09T06:12:42.971,68.53,ok,False,0.1392,Silence,True,71.61,49.63
29,2026-09-09T06:15:51.457,68.41,ok,False,0.1382,Silence,True,70.19,50.49
